client_id,Delinquent90
75000,0.03
75001,0.5833333333333334
75002,0.0
75003,0.16
75004,0.0
75005,0.043333333333333335
75006,0.01
75007,0.006666666666666667
75008,0.013333333333333334
75009,0.056666666666666664
75010,0.17666666666666667
75011,0.01
75012,0.08
75013,0.006666666666666667
75014,0.35333333333333333
75015,0.33666666666666667
75016,0.17333333333333334
75017,0.05
75018,0.006666666666666667
75019,0.13333333333333333
75020,0.013333333333333334
75021,0.07
75022,0.13333333333333333
75023,0.0
75024,0.06666666666666667
75025,0.22333333333333333
75026,0.01
75027,0.0
75028,0.02666666666666667
75029,0.0033333333333333335
75030,0.016666666666666666
75031,0.0033333333333333335
75032,0.023333333333333334
75033,0.07
75034,0.0033333333333333335
75035,0.0
75036,0.006666666666666667
75037,0.0033333333333333335
75038,0.0
75039,0.10666666666666667
75040,0.013333333333333334
75041,0.013333333333333334
75042,0.0
75043,0.0
75044,0.02
75045,0.09
75046,0.006666666666666667
75047,0.02666666666666667
75048,0.17333333333333334
75049,0.18333333333333332
75050,0.0
75051,0.0033333333333333335
75052,0.30333333333333334
75053,0.01
75054,0.006666666666666667
75055,0.01
75056,0.023333333333333334
75057,0.08
75058,0.02
75059,0.07666666666666666
75060,0.14
75061,0.0033333333333333335
75062,0.09666666666666666
75063,0.0
75064,0.056666666666666664
75065,0.023333333333333334
75066,0.02666666666666667
75067,0.02
75068,0.056666666666666664
75069,0.006666666666666667
75070,0.016666666666666666
75071,0.05333333333333334
75072,0.04
75073,0.02666666666666667
75074,0.07666666666666666
75075,0.006666666666666667
75076,0.0
75077,0.04666666666666667
75078,0.15
75079,0.0033333333333333335
75080,0.016666666666666666
75081,0.2
75082,0.01
75083,0.02666666666666667
75084,0.006666666666666667
75085,0.016666666666666666
75086,0.04
75087,0.013333333333333334
75088,0.0
75089,0.0033333333333333335
75090,0.01
75091,0.03666666666666667
75092,0.11333333333333333
75093,0.01
75094,0.0033333333333333335
75095,0.04666666666666667
75096,0.0
75097,0.03666666666666667
75098,0.04
75099,0.05
75100,0.09666666666666666
75101,0.0
75102,0.006666666666666667
75103,0.013333333333333334
75104,0.16333333333333333
75105,0.11
75106,0.006666666666666667
75107,0.056666666666666664
75108,0.01
75109,0.013333333333333334
75110,0.0
75111,0.08666666666666667
75112,0.0
75113,0.0
75114,0.0
75115,0.023333333333333334
75116,0.006666666666666667
75117,0.0
75118,0.016666666666666666
75119,0.36
75120,0.01
75121,0.056666666666666664
75122,0.0
75123,0.15
75124,0.0
75125,0.0033333333333333335
75126,0.0
75127,0.01
75128,0.16333333333333333
75129,0.04666666666666667
75130,0.13333333333333333
75131,0.03
75132,0.32666666666666666
75133,0.016666666666666666
75134,0.24
75135,0.08666666666666667
75136,0.15666666666666668
75137,0.0033333333333333335
75138,0.0
75139,0.08
75140,0.006666666666666667
75141,0.0
75142,0.05
75143,0.01
75144,0.08333333333333333
75145,0.43333333333333335
75146,0.15666666666666668
75147,0.0
75148,0.10666666666666667
75149,0.03333333333333333
75150,0.36666666666666664
75151,0.016666666666666666
75152,0.08
75153,0.043333333333333335
75154,0.006666666666666667
75155,0.013333333333333334
75156,0.006666666666666667
75157,0.0
75158,0.01
75159,0.02
75160,0.04666666666666667
75161,0.023333333333333334
75162,0.2633333333333333
75163,0.013333333333333334
75164,0.016666666666666666
75165,0.0
75166,0.07666666666666666
75167,0.11666666666666667
75168,0.013333333333333334
75169,0.07
75170,0.09333333333333334
75171,0.02
