id,dep_delayed_15min
0,0.028232844546437263
1,0.024610284715890884
2,0.03529166802763939
3,0.2122294157743454
4,0.2005537450313568
5,0.07993464171886444
6,0.04499023035168648
7,0.22544799745082855
8,0.15551653504371643
9,0.26537901163101196
10,0.22755217552185059
11,0.22053629159927368
12,0.11321389675140381
13,0.16159839928150177
14,0.06451191753149033
15,0.22141443192958832
16,0.05919885262846947
17,0.27956581115722656
18,0.41518107056617737
19,0.01404606457799673
20,0.23929819464683533
21,0.03980087861418724
22,0.2703385055065155
23,0.10967310518026352
24,0.290107786655426
25,0.49685361981391907
26,0.01735200546681881
27,0.020209962502121925
28,0.2860645353794098
29,0.15000638365745544
30,0.11505966633558273
31,0.405719131231308
32,0.053606197237968445
33,0.3269571363925934
34,0.580823540687561
35,0.2730925381183624
36,0.20020310580730438
37,0.13105426728725433
38,0.0833200141787529
39,0.17976954579353333
40,0.15711906552314758
41,0.16293948888778687
42,0.17561985552310944
43,0.3413606584072113
44,0.14725278317928314
45,0.4321279525756836
46,0.0037496520671993494
47,0.250683456659317
48,0.47838422656059265
49,0.09428341686725616
50,0.5196228623390198
51,0.03697589784860611
52,0.1806376725435257
53,0.447662889957428
54,0.33856114745140076
55,0.06280755996704102
56,0.238259956240654
57,0.4807586669921875
58,0.1182805746793747
59,0.3232410252094269
60,0.1636006236076355
61,0.07920727878808975
62,0.15799011290073395
63,0.2315942794084549
64,0.19023945927619934
65,0.16091810166835785
66,0.023239759728312492
67,0.11656621098518372
68,0.1355171799659729
69,0.22656740248203278
70,0.02017517387866974
71,0.2258000671863556
72,0.42183157801628113
73,0.3027140200138092
74,0.6995701193809509
75,0.24532383680343628
76,0.0938839316368103
77,0.13639459013938904
78,0.08305132389068604
79,0.06771015375852585
80,0.16377218067646027
81,0.18844828009605408
82,0.0987328290939331
83,0.16838338971138
84,0.110108882188797
85,0.024136722087860107
86,0.12785068154335022
87,0.1880158632993698
88,0.319847047328949
89,0.2876390814781189
90,0.14939945936203003
91,0.3004152178764343
92,0.12684187293052673
93,0.11983996629714966
94,0.19260519742965698
95,0.15563726425170898
96,0.2664465010166168
97,0.2479303926229477
98,0.18153928220272064
99,0.31402847170829773
100,0.07116004079580307
101,0.1702164113521576
102,0.05213513970375061
103,0.20161332190036774
104,0.00810188427567482
105,0.057518113404512405
106,0.332462877035141
107,0.051035672426223755
108,0.1110321506857872
109,0.1630745381116867
110,0.23953306674957275
111,0.18596655130386353
112,0.6103405356407166
113,0.012892899103462696
114,0.0449562631547451
115,0.15264974534511566
116,0.11977880448102951
117,0.4028482437133789
118,0.08703029155731201
119,0.170250803232193
120,0.4275071322917938
121,0.3370668292045593
122,0.21951542794704437
123,0.25718623399734497
124,0.1990278661251068
125,0.015323418192565441
126,0.048891402781009674
127,0.03006008267402649
128,0.08042271435260773
129,0.42635786533355713
130,0.4070659875869751
131,0.1251971423625946
132,0.026951953768730164
133,0.17304503917694092
134,0.02921552024781704
135,0.22122888267040253
136,0.23002013564109802
137,0.15899613499641418
138,0.017760232090950012
139,0.05600433424115181
140,0.2755095660686493
141,0.16674715280532837
142,0.42456677556037903
143,0.22775796055793762
144,0.1783958226442337
145,0.21582698822021484
146,0.1712024062871933
147,0.2518933415412903
148,0.09068842977285385
149,0.54789799451828
150,0.39111778140068054
151,0.21865881979465485
152,0.1448385864496231
153,0.21787124872207642
154,0.1605742871761322
155,0.14010334014892578
156,0.22879844903945923
157,0.20262694358825684
158,0.29518407583236694
159,0.03829598054289818
160,0.1027875617146492
161,0.3234441578388214
162,0.553161084651947
163,0.10929588973522186
164,0.1178051009774208
165,0.10525330156087875
166,0.17676933109760284
167,0.010790439322590828
168,0.09809321910142899
